"filename", "language", "JSON", "UnityShader", "C#", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\ManyStufs\OneSidedSprite.shader", "UnityShader", 0, 40, 0, 0, 0, 1, 5, 46
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.AsyncInterfaces.6.0.0\Microsoft.Bcl.AsyncInterfaces.nuspec", "XML", 0, 0, 0, 0, 30, 0, 1, 31
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.AsyncInterfaces.6.0.0\lib\netstandard2.1\Microsoft.Bcl.AsyncInterfaces.xml", "XML", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.TimeProvider.8.0.0\Microsoft.Bcl.TimeProvider.nuspec", "XML", 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.TimeProvider.8.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 40, 0, 0, 17, 57
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.TimeProvider.8.0.0\buildTransitive\net461\Microsoft.Bcl.TimeProvider.targets", "XML", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.TimeProvider.8.0.0\buildTransitive\netcoreapp2.0\Microsoft.Bcl.TimeProvider.targets", "XML", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\Microsoft.Bcl.TimeProvider.8.0.0\lib\netstandard2.0\Microsoft.Bcl.TimeProvider.xml", "XML", 0, 0, 0, 0, 415, 0, 1, 416
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\ObservableCollections.3.3.3\ObservableCollections.nuspec", "XML", 0, 0, 0, 0, 27, 0, 0, 27
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\ObservableCollections.3.3.3\lib\netstandard2.1\ObservableCollections.xml", "XML", 0, 0, 0, 0, 389, 0, 3, 392
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\ObservableCollections.R3.3.3.3\ObservableCollections.R3.nuspec", "XML", 0, 0, 0, 0, 34, 0, 0, 34
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\ObservableCollections.R3.3.3.3\lib\netstandard2.1\ObservableCollections.R3.xml", "XML", 0, 0, 0, 0, 350, 0, 3, 353
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\R3.1.3.0\R3.nuspec", "XML", 0, 0, 0, 0, 36, 0, 0, 36
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\R3.1.3.0\lib\netstandard2.1\R3.xml", "XML", 0, 0, 0, 0, 444, 0, 3, 447
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.ComponentModel.Annotations.5.0.0\System.ComponentModel.Annotations.nuspec", "XML", 0, 0, 0, 0, 68, 0, 2, 70
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.ComponentModel.Annotations.5.0.0\lib\netstandard2.1\System.ComponentModel.Annotations.xml", "XML", 0, 0, 0, 0, 1201, 0, 9, 1210
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Runtime.CompilerServices.Unsafe.6.0.0\System.Runtime.CompilerServices.Unsafe.nuspec", "XML", 0, 0, 0, 0, 28, 0, 1, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Runtime.CompilerServices.Unsafe.6.0.0\buildTransitive\netcoreapp2.0\System.Runtime.CompilerServices.Unsafe.targets", "XML", 0, 0, 0, 0, 6, 0, 1, 7
