"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\AnimationSequencer\PlayUIEffectTweener.cs", "C#", 43, 0, 5, 48
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\AnimationSequencer\SetTargetTransformScale.cs", "C#", 41, 0, 5, 46
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 372, 92, 90, 554
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandExecutor.cs", "C#", 201, 57, 37, 295
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandFactory.cs", "C#", 105, 20, 31, 156
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandQueue.cs", "C#", 207, 44, 43, 294
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandQueueUsageExample.cs", "C#", 4, 279, 3, 286
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandService.cs", "C#", 175, 52, 38, 265
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandServiceDebugger.cs", "C#", 2, 189, 1, 192
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\GameUICommand.cs", "C#", 195, 67, 37, 299
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\ICommand.cs", "C#", 58, 39, 15, 112
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\MusicCardData.cs", "C#", 40, 2, 7, 49
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ResourceCost.cs", "C#", 76, 3, 9, 88
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ResourceType.cs", "C#", 12, 0, 2, 14
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ResourceTypeExtensions.cs", "C#", 73, 4, 8, 85
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ResourceTypeImages.cs", "C#", 10, 0, 2, 12
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\SingleResourceTypeImages.cs", "C#", 17, 0, 1, 18
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\AsyncEventBus.cs", "C#", 214, 17, 46, 277
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\AsyncEventBusUsageExample.cs", "C#", 92, 80, 20, 192
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\GameEvents.cs", "C#", 33, 177, 6, 216
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\UIEvents.cs", "C#", 232, 7, 44, 283
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Managers\GameManager.cs", "C#", 50, 12, 11, 73
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\BoardModel.cs", "C#", 351, 4, 70, 425
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameConfig.cs", "C#", 70, 0, 12, 82
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameModel.cs", "C#", 300, 16, 74, 390
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameState.cs", "C#", 16, 1, 5, 22
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\MusicCardCollectionModel.cs", "C#", 90, 4, 18, 112
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\MusicCardModel.cs", "C#", 26, 1, 3, 30
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\MusicCardRepository.cs", "C#", 66, 0, 13, 79
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\PlayerModel.cs", "C#", 55, 0, 16, 71
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\PlayerRepository.cs", "C#", 0, 0, 1, 1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\ResourceCollectionModel.cs", "C#", 150, 1, 23, 174
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\TurnModel.cs", "C#", 144, 2, 23, 169
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\ReactiveObject\ExampleReactiveClass.cs", "C#", 75, 23, 9, 107
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\ReactiveObject\ReactiveObject.cs", "C#", 17, 6, 4, 27
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\ReactiveObject\ReactiveObjectUsageExample.cs", "C#", 83, 12, 16, 111
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\BoardService.cs", "C#", 35, 0, 7, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\PlayerService.cs", "C#", 19, 0, 3, 22
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\TurnService.cs", "C#", 228, 10, 54, 292
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Test\GameTestManager.cs", "C#", 34, 0, 5, 39
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardEndTurnButton\BoardEndTurnButtonPresenter.cs", "C#", 65, 0, 15, 80
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardEndTurnButton\BoardEndTurnButtonView.cs", "C#", 15, 0, 3, 18
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardEndTurnButton\BoardEndTurnButtonViewModel.cs", "C#", 28, 0, 7, 35
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardCardDeck\BoardCardDeckAnimationController.cs", "C#", 7, 0, 2, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardCardDeck\BoardCardDeckPresenter.cs", "C#", 24, 0, 7, 31
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardCardDeck\BoardCardDeckView.cs", "C#", 8, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardCardDeck\BoardCardDeckViewModel.cs", "C#", 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCardPanelPresenter.cs", "C#", 109, 7, 27, 143
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCardPanelView.cs", "C#", 21, 0, 4, 25
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCardPanelViewModel.cs", "C#", 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardAnimationController.cs", "C#", 59, 10, 17, 86
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardPresenter.cs", "C#", 149, 25, 37, 211
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardView.cs", "C#", 55, 2, 11, 68
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardViewModel.cs", "C#", 147, 0, 27, 174
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\MusicCardCostView.cs", "C#", 21, 0, 2, 23
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\MusicCardSingleCostView.cs", "C#", 19, 0, 1, 20
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelPresenter.cs", "C#", 101, 0, 14, 115
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelView.cs", "C#", 36, 0, 9, 45
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelViewModel.cs", "C#", 38, 0, 6, 44
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPresenter.cs", "C#", 73, 1, 13, 87
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenChangeValueAnimation.cs", "C#", 7, 0, 2, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenEntryAnimation.cs", "C#", 71, 10, 20, 101
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenPresenter.cs", "C#", 153, 5, 34, 192
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenViewModel.cs", "C#", 146, 1, 28, 175
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardView.cs", "C#", 19, 0, 1, 20
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardViewModel.cs", "C#", 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseSingleTokenPresenter.cs", "C#", 109, 0, 17, 126
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseSingleTokenView.cs", "C#", 40, 0, 7, 47
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseSingleTokenViewModel.cs", "C#", 36, 0, 6, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseTokenElement.cs", "C#", 14, 0, 2, 16
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowPresenter.cs", "C#", 103, 0, 19, 122
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowView.cs", "C#", 38, 0, 8, 46
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowViewModel.cs", "C#", 27, 0, 4, 31
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\ButtonElement.cs", "C#", 56, 7, 19, 82
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\UniversalPlayerResourceElement.cs", "C#", 31, 0, 6, 37
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\UniversalTokenElement.cs", "C#", 41, 0, 10, 51
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\ValueChangeAnimationController.cs", "C#", 47, 0, 8, 55
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowPresenter.cs", "C#", 75, 4, 13, 92
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowView.cs", "C#", 28, 0, 1, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowViewModel.cs", "C#", 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\DetailsMusicCardView.cs", "C#", 35, 0, 4, 39
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelCloseAnimation.cs", "C#", 160, 34, 43, 237
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelOpenAnimation.cs", "C#", 174, 35, 47, 256
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelPresenter.cs", "C#", 96, 2, 20, 118
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelView.cs", "C#", 61, 10, 7, 78
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelViewModel.cs", "C#", 115, 0, 25, 140
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\PlayerResourcesWindow\PlayerResourcesWindowPresenter.cs", "C#", 57, 0, 12, 69
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\PlayerResourcesWindow\PlayerResourcesWindowView.cs", "C#", 59, 0, 12, 71
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\PlayerResourcesWindow\PlayerResourcesWindowViewModel.cs", "C#", 0, 0, 1, 1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenAllTokenCountElement.cs", "C#", 23, 0, 2, 25
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSelectedPanel\ReturnTokenSelectedPanelPresenter.cs", "C#", 122, 0, 17, 139
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSelectedPanel\ReturnTokenSelectedPanelView.cs", "C#", 69, 0, 12, 81
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSelectedPanel\ReturnTokenSelectedPanelViewModel.cs", "C#", 90, 0, 17, 107
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSinglePlayerToken\ReturnTokenSinglePlayerTokenPresenter.cs", "C#", 101, 0, 17, 118
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSinglePlayerToken\ReturnTokenSinglePlayerTokenView.cs", "C#", 25, 0, 4, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenSinglePlayerToken\ReturnTokenSinglePlayerTokenViewModel.cs", "C#", 52, 0, 10, 62
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowPresenter.cs", "C#", 110, 0, 15, 125
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowView.cs", "C#", 38, 0, 5, 43
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowViewModel.cs", "C#", 40, 0, 7, 47
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\ChoosenBoardTokenPanel\ChoosenBoardTokenPanelPresenter.cs", "C#", 124, 0, 18, 142
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\ChoosenBoardTokenPanel\ChoosenBoardTokenPanelView.cs", "C#", 68, 0, 12, 80
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\ChoosenBoardTokenPanel\ChoosenBoardTokenPanelViewModel.cs", "C#", 91, 0, 17, 108
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\ChoosenBoardTokenPanel\ChoosenSingleBoardTokenView.cs", "C#", 21, 0, 4, 25
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectBoardTokenPanelPresenter.cs", "C#", 81, 0, 18, 99
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectBoardTokenPanelView.cs", "C#", 10, 0, 1, 11
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectBoardTokenPanelViewModel.cs", "C#", 26, 0, 5, 31
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectSingleToken\SelectSingleTokenPresenter.cs", "C#", 120, 1, 17, 138
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectSingleToken\SelectSingleTokenView.cs", "C#", 56, 6, 11, 73
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectBoardTokenPanel\SelectSingleToken\SelectSingleTokenViewModel.cs", "C#", 67, 0, 12, 79
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectTokenWindowPresenter.cs", "C#", 109, 1, 20, 130
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectTokenWindowView.cs", "C#", 45, 0, 7, 52
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SelectTokenWindow\SelectTokenWindowViewModel.cs", "C#", 55, 0, 11, 66
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartTurnWindow\StartTurnWindowPresenter.cs", "C#", 87, 0, 14, 101
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartTurnWindow\StartTurnWindowView.cs", "C#", 34, 0, 7, 41
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartTurnWindow\StartTurnWindowViewModel.cs", "C#", 37, 0, 8, 45
"Total", "-", 8509, 1382, 1688, 11579
