"filename", "language", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 6, 0, -1, 0, 5
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandFactory.cs", "C#", 20, 0, 2, 7, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\GameUICommand.cs", "C#", 74, 0, 1, 19, 94
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\MusicCardData.cs", "C#", 1, 0, 0, 1, 2
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Documentation\MusicService_README.md", "Markdown", 0, 141, 0, 47, 188
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\UIEvents.cs", "C#", 40, 0, 1, 8, 49
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Managers\GameManager.cs", "C#", 21, 0, 0, 2, 23
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\PlayerModel.cs", "C#", 7, 0, 0, 1, 8
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\TurnService.cs", "C#", 18, 0, 0, 2, 20
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardCardDeck\BoardCardDeckPresenter.cs", "C#", 5, 0, 0, 1, 6
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPresenter.cs", "C#", 34, 0, 0, 1, 35
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardView.cs", "C#", 1, 0, 0, -1, 0
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowPresenter.cs", "C#", 14, 0, 0, 1, 15
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MenuWindow\MenuWindowPresenter.cs", "C#", 12, 0, 0, 2, 14
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelPresenter.cs", "C#", 8, 0, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultPlayerResources\ResultPlayerResourcesPresenter.cs", "C#", 51, 0, 0, 11, 62
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultPlayerResources\ResultPlayerResourcesView.cs", "C#", 45, 0, 0, 10, 55
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultWindow\ResultPlayerElement.cs", "C#", 30, 0, 0, 7, 37
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultWindow\ResultWindowPresenter.cs", "C#", 54, 0, 0, 11, 65
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultWindow\ResultWindowView.cs", "C#", 49, 0, 0, 9, 58
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ResultWindow\ResultWindowViewModel.cs", "C#", 12, 0, 0, 2, 14
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SettingsWindow\SettingsWindowPresenter.cs", "C#", 62, 0, 0, 13, 75
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\SettingsWindow\SettingsWindowView.cs", "C#", 34, 0, 0, 8, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartPageWindow\StartPagePresenter.cs", "C#", 1, 0, 0, 1, 2
"Total", "-", 599, 141, 3, 164, 907
